iter	Passed	Remaining
405	7000	165411
406	7017	165394
407	7035	165394
408	7051	165337
409	7068	165317
410	7086	165307
411	7104	165312
412	7122	165318
413	7138	165280
414	7156	165283
415	7174	165261
416	7190	165216
417	7207	165203
418	7223	165167
419	7241	165154
420	7257	165113
421	7274	165090
422	7291	165063
423	7309	165056
424	7326	165039
425	7343	165013
426	7359	164970
427	7376	164965
428	7395	164966
429	7412	164947
430	7429	164925
431	7445	164889
432	7464	164902
433	7481	164885
434	7498	164856
435	7512	164783
436	7530	164764
437	7546	164740
438	7566	164783
439	7585	164801
440	7604	164811
441	7622	164805
442	7639	164783
443	7656	164759
444	7671	164695
445	7687	164668
446	7705	164668
447	7722	164631
448	7738	164598
449	7756	164585
450	7774	164585
451	7791	164577
452	7806	164500
453	7824	164503
454	7841	164481
455	7857	164437
456	7875	164444
457	7891	164403
458	7908	164374
459	7925	164359
460	7943	164351
461	7960	164317
462	7977	164310
463	7995	164304
464	8013	164299
465	8029	164265
466	8045	164220
467	8063	164210
468	8080	164197
469	8097	164172
470	8114	164154
471	8131	164136
472	8148	164116
473	8165	164085
474	8181	164033
475	8198	164022
476	8215	164005
477	8231	163965
478	8249	163954
479	8272	164059
480	8290	164060
481	8307	164030
482	8324	164004
483	8340	163971
484	8357	163941
485	8374	163930
486	8392	163921
487	8408	163888
488	8425	163852
489	8443	163851
490	8460	163841
491	8476	163791
492	8493	163777
493	8511	163776
494	8529	163769
495	8546	163751
496	8564	163736
497	8581	163714
498	8597	163681
499	8614	163661
500	8631	163638
501	8647	163601
502	8664	163583
503	8681	163547
504	8697	163509
505	8715	163502
506	8732	163485
507	8750	163478
508	8767	163468
509	8784	163436
510	8801	163421
511	8820	163436
512	8838	163428
513	8854	163393
514	8871	163365
515	8888	163346
516	8905	163331
517	8923	163322
518	8940	163311
519	8956	163263
520	8974	163261
521	8990	163230
522	9005	163174
523	9023	163163
524	9040	163147
525	9058	163140
526	9076	163129
527	9093	163122
528	9110	163099
529	9127	163063
530	9145	163063
531	9162	163045
532	9179	163029
533	9196	163009
534	9214	163006
535	9232	162992
536	9249	162980
537	9267	162976
538	9284	162959
539	9302	162940
540	9320	162938
541	9338	162946
542	9356	162939
543	9373	162918
544	9390	162894
545	9406	162859
546	9423	162835
547	9441	162828
548	9457	162798
549	9475	162788
550	9492	162769
551	9509	162746
552	9527	162743
553	9545	162730
554	9562	162713
555	9579	162698
556	9596	162669
557	9612	162644
558	9631	162648
559	9648	162621
560	9664	162598
561	9680	162561
562	9698	162552
563	9715	162521
564	9732	162507
565	9749	162487
566	9767	162488
567	9784	162465
568	9802	162455
569	9818	162417
570	9835	162394
571	9853	162386
572	9871	162382
573	9886	162338
