iter	Passed	Remaining
406	6273	9140
407	6288	9124
408	6303	9108
409	6317	9090
410	6332	9074
411	6346	9058
412	6363	9045
413	6379	9030
414	6393	9012
415	6407	8994
416	6423	8980
417	6438	8965
418	6453	8948
419	6469	8933
420	6483	8916
421	6498	8900
422	6513	8884
423	6526	8866
424	6542	8851
425	6558	8837
426	6572	8819
427	6587	8803
428	6602	8787
429	6617	8771
430	6631	8754
431	6647	8740
432	6662	8724
433	6676	8706
434	6692	8692
435	6707	8676
436	6721	8660
437	6738	8645
438	6754	8632
439	6770	8616
440	6785	8601
441	6802	8587
442	6818	8573
443	6834	8558
444	6848	8541
445	6864	8526
446	6878	8509
447	6896	8497
448	6912	8482
449	6926	8465
450	6943	8452
451	6957	8435
452	6972	8418
453	6988	8404
454	7003	8388
455	7018	8372
456	7033	8357
457	7048	8341
458	7063	8325
459	7078	8309
460	7092	8292
461	7105	8274
462	7121	8259
463	7137	8245
464	7153	8230
465	7169	8215
466	7185	8200
467	7199	8184
468	7214	8168
469	7230	8153
470	7246	8138
471	7261	8122
472	7275	8106
473	7290	8090
474	7305	8074
475	7320	8058
476	7335	8042
477	7350	8027
478	7365	8011
479	7381	7996
480	7396	7980
481	7410	7964
482	7425	7947
483	7439	7931
484	7455	7916
485	7470	7901
486	7486	7885
487	7500	7869
488	7517	7855
489	7532	7839
490	7547	7823
491	7562	7808
492	7577	7793
493	7592	7777
494	7608	7762
495	7623	7746
496	7638	7731
497	7654	7716
498	7670	7701
499	7687	7687
500	7703	7672
501	7718	7657
502	7733	7640
503	7748	7625
504	7763	7610
505	7778	7594
506	7793	7578
507	7808	7562
508	7823	7546
509	7837	7529
510	7852	7514
511	7869	7500
512	7884	7485
513	7901	7470
514	7915	7454
515	7932	7440
516	7947	7425
517	7962	7409
518	7978	7394
519	7992	7377
520	8006	7361
521	8021	7345
522	8037	7330
523	8051	7314
524	8065	7297
525	8080	7281
526	8094	7264
527	8109	7249
528	8122	7232
529	8139	7218
530	8153	7201
531	8168	7185
532	8182	7169
533	8198	7154
534	8212	7138
535	8227	7122
536	8242	7106
537	8258	7091
538	8272	7075
539	8286	7058
540	8301	7043
541	8316	7027
542	8332	7012
543	8347	6996
544	8362	6981
545	8378	6966
546	8393	6950
547	8408	6935
548	8424	6920
549	8440	6905
550	8453	6888
551	8468	6872
552	8484	6858
553	8499	6842
554	8514	6826
555	8530	6812
556	8546	6797
557	8561	6781
558	8577	6766
559	8591	6750
560	8605	6734
561	8621	6719
562	8634	6702
563	8651	6688
564	8667	6673
565	8682	6657
566	8698	6642
567	8713	6627
568	8729	6612
569	8746	6598
570	8762	6583
571	8777	6567
572	8793	6552
573	8809	6538
574	8823	6521
575	8839	6506
576	8856	6492
577	8869	6475
578	8884	6460
579	8899	6444
580	8915	6429
581	8930	6413
582	8946	6399
583	8960	6383
584	8976	6368
585	8991	6352
586	9006	6336
587	9021	6321
588	9036	6305
589	9050	6289
590	9066	6274
591	9080	6258
592	9095	6242
593	9110	6227
594	9125	6211
595	9140	6195
596	9154	6179
597	9168	6163
598	9182	6147
599	9197	6131
600	9211	6115
601	9227	6100
602	9242	6084
603	9256	6068
604	9273	6054
605	9289	6039
606	9306	6025
607	9321	6010
608	9337	5994
609	9351	5979
610	9367	5963
611	9381	5947
612	9396	5932
613	9412	5917
614	9428	5902
615	9442	5886
616	9458	5871
617	9474	5856
618	9489	5840
619	9503	5824
620	9519	5809
621	9535	5794
622	9549	5779
623	9565	5763
624	9578	5747
625	9593	5731
626	9609	5716
627	9623	5700
628	9637	5684
629	9653	5669
630	9669	5654
631	9684	5638
632	9696	5621
633	9714	5607
634	9728	5592
635	9743	5576
636	9759	5561
637	9774	5546
638	9790	5530
639	9804	5515
640	9818	5498
641	9835	5484
642	9850	5469
643	9864	5453
644	9879	5437
645	9896	5422
646	9911	5407
647	9925	5391
648	9940	5376
649	9955	5360
650	9969	5344
651	9985	5329
652	10000	5314
653	10016	5299
654	10032	5284
655	10046	5268
656	10061	5252
657	10076	5237
658	10091	5222
659	10106	5206
660	10123	5191
661	10137	5175
662	10152	5160
663	10168	5145
664	10183	5130
665	10197	5114
666	10212	5098
667	10227	5083
668	10243	5068
669	10259	5053
670	10274	5037
671	10289	5022
672	10305	5007
673	10321	4992
674	10335	4976
675	10350	4960
676	10365	4945
677	10379	4929
678	10394	4913
679	10408	4898
680	10424	4882
681	10438	4867
682	10453	4851
683	10469	4836
684	10485	4821
685	10500	4806
686	10515	4790
687	10530	4775
688	10547	4760
689	10561	4745
690	10575	4729
691	10590	4713
692	10605	4698
693	10620	4682
694	10635	4667
695	10649	4651
696	10664	4636
697	10679	4620
698	10697	4606
699	10712	4590
700	10726	4575
701	10742	4560
702	10756	4544
703	10773	4529
704	10787	4513
705	10801	4498
706	10817	4482
707	10832	4467
708	10847	4452
709	10862	4436
710	10878	4421
711	10894	4406
712	10910	4391
713	10924	4375
714	10938	4360
715	10954	4344
716	10968	4329
717	10983	4313
718	10997	4298
719	11011	4282
720	11026	4267
721	11042	4251
722	11058	4236
723	11074	4221
724	11089	4206
725	11105	4191
726	11120	4175
727	11135	4160
728	11151	4145
729	11165	4129
730	11181	4114
731	11198	4100
732	11213	4084
733	11230	4069
734	11246	4054
735	11260	4039
736	11277	4024
737	11292	4008
738	11309	3994
739	11324	3978
740	11339	3963
741	11354	3948
742	11370	3932
743	11387	3918
744	11403	3903
745	11419	3888
746	11434	3872
747	11450	3857
748	11465	3842
749	11480	3826
750	11496	3811
751	11511	3796
752	11524	3780
753	11541	3765
754	11556	3750
755	11570	3734
756	11583	3718
757	11600	3703
758	11616	3688
759	11631	3673
760	11647	3658
761	11663	3642
762	11679	3627
763	11695	3612
764	11710	3597
765	11724	3581
766	11739	3566
767	11756	3551
768	11771	3536
769	11787	3520
770	11803	3505
771	11818	3490
772	11834	3475
773	11850	3460
774	11865	3444
775	11881	3429
776	11896	3414
777	11909	3398
778	11924	3382
779	11940	3367
780	11955	3352
781	11970	3337
782	11985	3321
783	12001	3306
784	12015	3290
785	12030	3275
786	12047	3260
787	12061	3245
788	12076	3229
789	12091	3214
790	12106	3198
791	12118	3182
792	12135	3167
793	12149	3152
794	12163	3136
795	12177	3120
796	12192	3105
797	12207	3090
798	12223	3074
799	12238	3059
800	12254	3044
801	12268	3028
802	12284	3013
803	12299	2998
804	12314	2982
805	12328	2967
806	12343	2952
807	12359	2936
808	12373	2921
809	12386	2905
810	12401	2890
811	12416	2874
812	12432	2859
813	12447	2844
814	12462	2829
815	12477	2813
816	12494	2798
817	12510	2783
818	12526	2768
819	12541	2753
820	12556	2737
821	12571	2722
822	12585	2706
823	12601	2691
824	12616	2676
825	12631	2660
826	12646	2645
827	12660	2629
828	12675	2614
829	12690	2599
830	12706	2584
831	12721	2568
832	12737	2553
833	12753	2538
834	12768	2523
835	12784	2507
836	12800	2492
837	12813	2477
838	12828	2461
839	12843	2446
840	12857	2430
841	12873	2415
842	12890	2400
843	12904	2385
844	12919	2369
845	12935	2354
846	12950	2339
847	12965	2323
848	12981	2308
849	12997	2293
850	13014	2278
851	13030	2263
852	13044	2247
853	13060	2232
854	13076	2217
855	13090	2202
856	13104	2186
857	13119	2171
858	13135	2156
859	13148	2140
860	13165	2125
861	13180	2110
862	13196	2094
863	13211	2079
864	13226	2064
865	13243	2049
866	13257	2033
867	13271	2018
868	13286	2002
869	13300	1987
870	13315	1972
871	13331	1956
872	13346	1941
873	13359	1926
874	13374	1910
875	13389	1895
876	13405	1880
877	13420	1864
878	13434	1849
879	13449	1833
880	13463	1818
881	13478	1803
882	13494	1788
883	13508	1772
884	13524	1757
885	13540	1742
886	13556	1727
887	13571	1711
888	13585	1696
889	13598	1680
890	13613	1665
891	13628	1650
892	13644	1634
893	13660	1619
894	13674	1604
895	13689	1588
896	13702	1573
897	13717	1558
898	13731	1542
899	13747	1527
900	13762	1512
901	13777	1496
902	13791	1481
903	13806	1466
904	13821	1450
905	13834	1435
906	13850	1420
907	13866	1404
908	13887	1390
909	13904	1375
910	13920	1359
911	13935	1344
912	13949	1329
913	13964	1313
914	13980	1298
915	13997	1283
916	14012	1268
917	14027	1253
918	14042	1237
919	14057	1222
920	14072	1207
921	14085	1191
922	14101	1176
923	14116	1161
924	14131	1145
925	14147	1130
926	14163	1115
927	14178	1100
928	14193	1084
929	14208	1069
930	14223	1054
931	14239	1038
932	14253	1023
933	14268	1008
934	14283	992
935	14299	977
936	14314	962
937	14328	947
938	14343	931
939	14358	916
940	14374	901
941	14391	886
942	14406	870
943	14421	855
944	14438	840
945	14453	825
946	14468	809
947	14484	794
948	14499	779
949	14515	763
950	14531	748
951	14548	733
952	14563	718
953	14579	702
954	14593	687
955	14607	672
956	14622	657
957	14639	641
958	14653	626
959	14669	611
960	14685	595
961	14700	580
962	14716	565
963	14731	550
964	14745	534
965	14762	519
966	14776	504
967	14791	488
968	14808	473
969	14822	458
970	14838	443
971	14855	427
972	14870	412
973	14884	397
974	14898	382
975	14913	366
976	14927	351
977	14942	336
978	14957	320
979	14972	305
980	14989	290
981	15006	275
982	15021	259
983	15036	244
984	15051	229
985	15066	213
986	15079	198
987	15093	183
988	15108	168
989	15123	152
990	15139	137
991	15154	122
992	15169	106
993	15184	91
994	15199	76
995	15214	61
996	15229	45
997	15244	30
998	15260	15
999	15274	0
